transaction_id,customer_id,amount,transaction_date
1,10,1125.85,2023-03-04
2,8,210.97,2023-01-31
3,5,1996.03,2023-02-20
4,7,179.81,2023-01-14
5,4,1303.5,2023-02-18
6,4,564.72,2023-01-28
7,2,1106.34,2023-03-19
8,8,252.11,2023-01-17
9,9,1415.12,2023-03-29
10,3,14.75,2023-02-25
11,2,950.01,2023-01-14
12,2,1833.83,2023-03-16
13,5,55.7,2023-01-01
14,2,496.44,2023-03-01
15,8,674.05,2023-01-06
16,5,764.55,2023-01-26
17,5,1651.65,2023-03-11
18,3,1161.61,2023-03-29
19,3,689.11,2023-03-03
20,4,1922.95,2023-02-20
21,6,1391.99,2023-01-14
22,1,1412.09,2023-01-02
23,6,525.88,2023-01-28
24,8,673.44,2023-03-12
25,10,1498.82,2023-03-06
26,9,866.74,2023-03-27
27,5,1441.57,2023-03-25
28,5,1934.45,2023-03-14
29,10,1852.8,2023-03-24
30,2,1940.73,2023-02-01
31,9,138.45,2023-02-12
32,5,1489.93,2023-02-10
33,8,1079.52,2023-03-28
34,3,85.8,2023-03-01
35,8,40.73,2023-02-15
36,8,464.02,2023-01-02
37,9,1514.12,2023-01-27
38,10,1160.71,2023-02-21
39,1,1885.16,2023-03-25
40,8,667.7,2023-02-20
41,8,1501.3,2023-01-15
42,9,755.14,2023-01-02
43,2,166.39,2023-03-21
44,4,82.49,2023-02-22
45,2,45.78,2023-03-18
46,10,434.74,2023-02-24
47,3,1588.76,2023-03-04
48,5,206.5,2023-03-24
49,6,1990.46,2023-03-27
50,8,798.23,2023-01-09
51,3,1441.29,2023-03-05
52,7,164.05,2023-03-26
53,2,936.68,2023-01-14
54,6,631.13,2023-02-23
55,6,851.65,2023-01-01
56,4,1702.82,2023-02-09
57,4,171.29,2023-03-24
58,2,741.56,2023-02-06
59,7,1423.39,2023-03-25
60,7,1348.85,2023-02-15
61,1,1437.8,2023-03-26
62,5,1114.61,2023-01-01
63,4,585.34,2023-02-17
64,9,1735.65,2023-03-11
65,2,1589.47,2023-01-10
66,8,474.4,2023-02-07
67,6,1952.98,2023-01-19
68,4,399.86,2023-02-17
69,6,398.86,2023-01-07
70,4,465.12,2023-01-05
71,9,747.0,2023-03-29
72,7,10.04,2023-03-14
73,5,898.51,2023-01-21
74,8,1352.95,2023-02-23
75,8,577.05,2023-02-15
76,6,347.13,2023-03-13
77,6,539.83,2023-01-10
78,6,619.1,2023-02-10
79,7,1360.79,2023-01-04
80,9,88.78,2023-01-04
81,9,614.7,2023-01-17
82,5,408.21,2023-02-20
83,2,1774.82,2023-01-23
84,10,371.68,2023-02-17
85,7,1442.01,2023-03-08
86,4,1102.44,2023-02-24
87,10,105.05,2023-01-06
88,6,1214.31,2023-03-31
89,10,730.17,2023-01-13
90,7,353.93,2023-01-02
91,10,1223.26,2023-01-16
92,2,1652.22,2023-02-14
93,8,1594.96,2023-02-01
94,8,1181.99,2023-02-04
95,2,395.13,2023-02-11
96,7,597.45,2023-02-03
97,4,597.07,2023-01-05
98,8,1296.9,2023-03-02
99,4,373.5,2023-03-20
100,3,316.29,2023-01-06
